locus,clump_id,es,p,fdr,gene_id,mutation_type,is_index,swissprot_id,swissprot_name
Acerv_scaffold_142-198973,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-199654,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-199741,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-199818,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-199862,Acerv_scaffold_142:clump_1,-1.839930324370227,7.51106708208144e-7,0.01518974553569285,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-200386,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-200387,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-200490,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-200734,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-201726,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-202227,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-202366,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-202443,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-202917,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-202988,Acerv_scaffold_142:clump_1,-0.9025935361354503,0.00864028420473413,0.8499779611395112,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-203066,Acerv_scaffold_142:clump_1,-1.1284009456619912,0.00120069043092482,0.6416997408059855,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-203099,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-203693,Acerv_scaffold_142:clump_1,-1.0833357479081385,0.0011544824547125,0.638259560221155,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-203811,Acerv_scaffold_142:clump_1,-1.0833357479081385,0.0011544824547125,0.638259560221155,Acer_00031547,Non-Coding,FALSE,sp|Q8NHU2|CFA61_HUMAN,Cilia- and flagella-associated protein 61 OS=Homo sapiens OX=9606 GN=CFAP61 PE=2 SV=3
Acerv_scaffold_142-204482,Acerv_scaffold_142:clump_1,-1.6182198430031085,4.39063026220048e-5,0.1926011304201727,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-205121,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-205167,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-205180,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-205986,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-206236,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-206559,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-207400,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-207425,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-207588,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-207884,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-207984,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208283,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208388,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208672,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208707,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208782,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208834,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-208969,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Synonomous,FALSE,NA,NA
Acerv_scaffold_142-209207,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Synonomous,FALSE,NA,NA
Acerv_scaffold_142-210664,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-210714,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-210965,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-210966,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211032,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211049,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211143,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211234,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211345,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-211956,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-212547,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-212692,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-212747,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-212994,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-213010,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-213623,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-214249,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-214402,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-214620,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-214870,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-214909,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-215230,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-215361,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-215479,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216496,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216615,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216713,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216745,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216869,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216918,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216951,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-216998,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-217083,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-217129,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-217273,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-218369,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,Acer_00031552,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-219439,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-219648,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-220101,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-220525,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-220542,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-220975,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-221166,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-221404,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-221751,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-221841,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-222335,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-222486,Acerv_scaffold_142:clump_1,-1.0833357479081385,0.0011544824547125,0.638259560221155,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-222500,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-222505,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223111,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223296,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223484,Acerv_scaffold_142:clump_1,-1.4125168925600369,4.196001828972198e-4,0.472965295586185,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223770,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223782,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-223908,Acerv_scaffold_142:clump_1,-1.702469356712655,2.756409635094795e-5,0.16952857003440805,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224008,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224067,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224251,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224300,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224390,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224430,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224654,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224724,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-224736,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-225027,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-225128,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,Acer_00031553,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226093,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226328,Acerv_scaffold_142:clump_1,-1.2439208055079944,0.00143457371659023,0.6576838744288344,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226700,Acerv_scaffold_142:clump_1,-1.1587328641168897,0.00178877464959384,0.6689715897474148,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226861,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226877,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226929,Acerv_scaffold_142:clump_1,-1.0833357479081385,0.0011544824547125,0.638259560221155,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-226998,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227093,Acerv_scaffold_142:clump_1,-1.426143756486724,2.7251601686913347e-4,0.38500582880251694,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227591,Acerv_scaffold_142:clump_1,-1.4394911591330817,1.2585386017638338e-5,0.10803204815195296,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227609,Acerv_scaffold_142:clump_1,-1.3507466402779738,1.5316195649949744e-4,0.359739446828109,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227647,Acerv_scaffold_142:clump_1,-1.216071911821517,0.00112842900200018,0.6338997733524244,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227848,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227850,Acerv_scaffold_142:clump_1,-1.2007981068425615,2.8491883475381e-4,0.39328983198752215,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-227902,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-228087,Acerv_scaffold_142:clump_1,-1.022550749961811,0.01060571138029209,0.8642626665333409,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-228645,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,NA,Non-Coding,FALSE,NA,NA
Acerv_scaffold_142-228721,Acerv_scaffold_142:clump_1,-1.228647000529038,4.450120887897379e-4,0.48145606122254825,NA,Non-Coding,FALSE,NA,NA
